ticker,regime,kind,dt,fwd1d,fwd3d,fwd5d
CGNX,RANGE,CTRL,2024-11-25T09:30:00,-2.398,-2.904,-5.495
CGNX,RANGE,CTRL,2024-11-25T15:30:00,-3.177,-3.454,-6.45
CGNX,RANGE,CTRL,2024-11-26T14:30:00,-1.279,-2.941,-5.934
CGNX,RANGE,CTRL,2024-11-27T13:30:00,0.576,-1.953,-5.259
CGNX,RANGE,H_DOWN,2024-11-27T14:30:00,0.196,-2.234,-4.991
CGNX,RANGE,CTRL,2024-12-02T09:30:00,-2.327,-5.373,-4.147
CGNX,RANGE,CTRL,2024-12-02T15:30:00,-2.726,-6.766,-4.932
CGNX,BEAR,CTRL,2024-12-03T14:30:00,-1.399,-3.485,-2.976
CGNX,BEAR,CTRL,2024-12-04T13:30:00,-2.691,-0.241,-3.63
CGNX,BEAR,CTRL,2024-12-05T12:30:00,-0.132,1.846,-0.106
CGNX,BEAR,CTRL,2024-12-06T11:30:00,2.189,-0.87,-2.461
CGNX,BEAR,H_DOWN,2024-12-06T13:30:00,2.666,-0.821,-1.51
CGNX,BEAR,CTRL,2024-12-09T10:30:00,-0.918,-1.676,-3.012
CGNX,BEAR,CTRL,2024-12-10T09:30:00,-0.172,-2.115,-2.033
CGNX,BEAR,H_UP,2024-12-10T14:30:00,-2.15,-2.713,-3.566
CGNX,BEAR,CTRL,2024-12-10T15:30:00,-1.134,-2.268,-3.586
CGNX,BEAR,CTRL,2024-12-11T14:30:00,1.34,0.509,-4.448
CGNX,BEAR,CTRL,2024-12-12T13:30:00,-1.484,-2.067,-4.506
CGNX,BEAR,H_DOWN,2024-12-12T14:30:00,-1.89,-2.75,-4.759
CGNX,BEAR,CTRL,2024-12-13T12:30:00,1.727,0.405,-2.887
CGNX,BEAR,CTRL,2024-12-16T11:30:00,-2.274,-4.931,-5.116
CGNX,BEAR,CTRL,2024-12-17T10:30:00,1.787,-1.719,-1.029
CGNX,BEAR,CTRL,2024-12-18T09:30:00,-3.99,-3.348,-1.205
CGNX,BEAR,CTRL,2024-12-18T15:30:00,1.292,1.489,1.208
CGNX,BEAR,CTRL,2024-12-19T14:30:00,-0.305,2.401,-0.916
CGNX,BEAR,CTRL,2024-12-20T13:30:00,0.249,0.9,-0.471
CGNX,BEAR,CTRL,2024-12-23T12:30:00,1.816,-2.55,0.236
CGNX,BEAR,H_DOWN,2024-12-23T13:30:00,1.906,-1.878,-0.083
CGNX,BEAR,CTRL,2024-12-24T11:30:00,1.288,-2.22,-2.166
CGNX,BEAR,CTRL,2024-12-26T14:30:00,-2.061,-2.465,-1.708
CGNX,BEAR,CTRL,2024-12-27T13:30:00,-0.872,-0.734,1.421
CGNX,BEAR,CTRL,2024-12-30T12:30:00,-0.096,1.217,5.269
CGNX,BEAR,CTRL,2024-12-31T11:30:00,0.586,3.904,3.737
CGNX,BEAR,H_DOWN,2024-12-31T14:30:00,-0.364,1.833,4.293
CGNX,BEAR,CTRL,2025-01-02T10:30:00,-0.677,3.829,2.544
CGNX,BEAR,CTRL,2025-01-03T09:30:00,3.959,3.923,2.97
